query_validation,#Scan#
Monohydroxy_stage1,90409
Monohydroxy_stage1,90842
Monohydroxy_stage1,90856
Monohydroxy_stage1,91107
Monohydroxy_stage1,92853
Monohydroxy_stage1,94522
Monohydroxy_stage1,94539
Monohydroxy_stage1,96379
Monohydroxy_stage1,97490
Monohydroxy_stage1,98448
Monohydroxy_stage1,98563
Monohydroxy_stage1,98630
Monohydroxy_stage1,98723
Monohydroxy_stage1,98739
Monohydroxy_stage1,98742
Monohydroxy_stage1,101659
Monohydroxy_stage1,102512
Monohydroxy_stage1,102581
Monohydroxy_stage1,107150
Monohydroxy_stage1,108617
Monohydroxy_stage1,108923
Monohydroxy_stage1,109387
Monohydroxy_stage1,109395
Monohydroxy_stage1,109665
Monohydroxy_stage1,110171
Monohydroxy_stage1,111178
Monohydroxy_stage1,112813
Monohydroxy_stage1,114867
Monohydroxy_stage1,114989
Monohydroxy_stage1,115175
Monohydroxy_stage1,116008
Monohydroxy_stage1,116439
Monohydroxy_stage1,116512
Monohydroxy_stage1,116517
Monohydroxy_stage1,116536
Monohydroxy_stage1,117590
Monohydroxy_stage1,119524
Monohydroxy_stage1,120750
Monohydroxy_stage1,120891
Monohydroxy_stage1,121058
Monohydroxy_stage1,121090
Monohydroxy_stage1,121692
Monohydroxy_stage1,122732
Monohydroxy_stage1,122735
Monohydroxy_stage1,122838
Monohydroxy_stage1,122842
Monohydroxy_stage1,122843
Monohydroxy_stage1,122846
Monohydroxy_stage1,122865
Monohydroxy_stage1,122869
Monohydroxy_stage1,122870
Monohydroxy_stage1,122890
Monohydroxy_stage1,122895
Monohydroxy_stage1,122916
Monohydroxy_stage1,122919
Monohydroxy_stage1,122931
Monohydroxy_stage1,122932
Monohydroxy_stage1,122938
Monohydroxy_stage1,123688
Monohydroxy_stage1,125151
Monohydroxy_stage1,126626
Monohydroxy_stage1,126843
Monohydroxy_stage1,127563
Monohydroxy_stage1,127928
Monohydroxy_stage1,127935
Monohydroxy_stage1,127948
Monohydroxy_stage1,128814
Monohydroxy_stage1,128836
Monohydroxy_stage2,nan
Mono-3a-OH,81575
Mono-3a-OH,81758
Mono-3a-OH,83372
Mono-3a-OH,85828
Mono-3a-OH,88590
Mono-3a-OH,88933
Mono-3a-OH,90060
Mono-3a-OH,90136
Mono-3a-OH,90627
Mono-3a-OH,91056
Mono-3a-OH,91479
Mono-3a-OH,91965
Mono-3a-OH,92199
Mono-3a-OH,92307
Mono-3a-OH,92889
Mono-3a-OH,93625
Mono-3a-OH,93640
Mono-3a-OH,93670
Mono-3a-OH,93837
Mono-3a-OH,94072
Mono-3a-OH,94394
Mono-3a-OH,94522
Mono-3a-OH,94539
Mono-3a-OH,94716
Mono-3a-OH,95037
Mono-3a-OH,95103
Mono-3a-OH,95417
Mono-3a-OH,95779
Mono-3a-OH,96234
Mono-3a-OH,96421
Mono-3a-OH,97571
Mono-3a-OH,98279
Mono-3a-OH,98713
Mono-3a-OH,98788
Mono-3a-OH,98796
Mono-3a-OH,98799
Mono-3a-OH,98800
Mono-3a-OH,98917
Mono-3a-OH,99261
Mono-3a-OH,99288
Mono-3a-OH,99332
Mono-3a-OH,99604
Mono-3a-OH,99659
Mono-3a-OH,99763
Mono-3a-OH,99807
Mono-3a-OH,100108
Mono-3a-OH,101286
Mono-3a-OH,101659
Mono-3a-OH,101834
Mono-3a-OH,101877
Mono-3a-OH,102274
Mono-3a-OH,102393
Mono-3a-OH,102656
Mono-3a-OH,102707
Mono-3a-OH,102883
Mono-3a-OH,102886
Mono-3a-OH,104099
Mono-3a-OH,104542
Mono-3a-OH,104776
Mono-3a-OH,105142
Mono-3a-OH,105190
Mono-3a-OH,106229
Mono-3a-OH,106230
Mono-3a-OH,106231
Mono-3a-OH,106574
Mono-3a-OH,106580
Mono-3a-OH,106671
Mono-3a-OH,106817
Mono-3a-OH,107150
Mono-3a-OH,107246
Mono-3a-OH,107440
Mono-3a-OH,107446
Mono-3a-OH,107755
Mono-3a-OH,107868
Mono-3a-OH,107869
Mono-3a-OH,108349
Mono-3a-OH,108353
Mono-3a-OH,108914
Mono-3a-OH,108923
Mono-3a-OH,109011
Mono-3a-OH,110171
Mono-3a-OH,110261
Mono-3a-OH,110833
Mono-3a-OH,110963
Mono-3a-OH,111801
Mono-3a-OH,111818
Mono-3a-OH,111838
Mono-3a-OH,111843
Mono-3a-OH,111852
Mono-3a-OH,111905
Mono-3a-OH,111906
Mono-3a-OH,111962
Mono-3a-OH,111969
Mono-3a-OH,112371
Mono-3a-OH,112400
Mono-3a-OH,112499
Mono-3a-OH,113933
Mono-3a-OH,114327
Mono-3a-OH,114674
Mono-3a-OH,115149
Mono-3a-OH,115175
Mono-3a-OH,115873
Mono-3a-OH,116008
Mono-3a-OH,116512
Mono-3a-OH,116517
Mono-3a-OH,116536
Mono-3a-OH,117981
Mono-3a-OH,119328
Mono-3a-OH,119493
Mono-3a-OH,119809
Mono-3a-OH,120218
Mono-3a-OH,120343
Mono-3a-OH,120750
Mono-3a-OH,121090
Mono-3a-OH,121163
Mono-3a-OH,122916
Mono-3a-OH,123210
Mono-3a-OH,123571
Mono-3a-OH,124015
Mono-3a-OH,124020
Mono-3a-OH,124032
Mono-3a-OH,124965
Mono-3a-OH,125570
Mono-3a-OH,125572
Mono-3a-OH,126058
Mono-3a-OH,126843
Mono-3a-OH,127717
Mono-3a-OH,127928
Mono-3a-OH,128453
Mono-3a-OH,128491
Mono-3a-OH,128658
Mono-3a-OH,128687
Mono-3a-OH,128836
Mono-3a-OH,131823
Mono-3a-OH,132673
Mono-7b-OH,116512
Mono-7b-OH,116536
Dihydroxy_stage1,81730
Dihydroxy_stage1,82364
Dihydroxy_stage1,83470
Dihydroxy_stage1,83583
Dihydroxy_stage1,83637
Dihydroxy_stage1,84935
Dihydroxy_stage1,84976
Dihydroxy_stage1,86172
Dihydroxy_stage1,86615
Dihydroxy_stage1,86753
Dihydroxy_stage1,86758
Dihydroxy_stage1,86944
Dihydroxy_stage1,87192
Dihydroxy_stage1,87456
Dihydroxy_stage1,87630
Dihydroxy_stage1,87752
Dihydroxy_stage1,87774
Dihydroxy_stage1,87830
Dihydroxy_stage1,88033
Dihydroxy_stage1,88061
Dihydroxy_stage1,88573
Dihydroxy_stage1,88587
Dihydroxy_stage1,89396
Dihydroxy_stage1,89506
Dihydroxy_stage1,89637
Dihydroxy_stage1,89644
Dihydroxy_stage1,89704
Dihydroxy_stage1,89770
Dihydroxy_stage1,90028
Dihydroxy_stage1,90060
Dihydroxy_stage1,90118
Dihydroxy_stage1,90136
Dihydroxy_stage1,90175
Dihydroxy_stage1,90188
Dihydroxy_stage1,90201
Dihydroxy_stage1,90211
Dihydroxy_stage1,90290
Dihydroxy_stage1,90361
Dihydroxy_stage1,90400
Dihydroxy_stage1,90401
Dihydroxy_stage1,90402
Dihydroxy_stage1,90407
Dihydroxy_stage1,90408
Dihydroxy_stage1,90409
Dihydroxy_stage1,90412
Dihydroxy_stage1,90443
Dihydroxy_stage1,90718
Dihydroxy_stage1,90773
Dihydroxy_stage1,90776
Dihydroxy_stage1,90958
Dihydroxy_stage1,91008
Dihydroxy_stage1,91041
Dihydroxy_stage1,91055
Dihydroxy_stage1,91056
Dihydroxy_stage1,91104
Dihydroxy_stage1,91107
Dihydroxy_stage1,91170
Dihydroxy_stage1,91189
Dihydroxy_stage1,91263
Dihydroxy_stage1,91267
Dihydroxy_stage1,91291
Dihydroxy_stage1,91467
Dihydroxy_stage1,91763
Dihydroxy_stage1,91801
Dihydroxy_stage1,91965
Dihydroxy_stage1,92045
Dihydroxy_stage1,92116
Dihydroxy_stage1,92198
Dihydroxy_stage1,92199
Dihydroxy_stage1,92216
Dihydroxy_stage1,92217
Dihydroxy_stage1,92274
Dihydroxy_stage1,92307
Dihydroxy_stage1,92447
Dihydroxy_stage1,92475
Dihydroxy_stage1,92536
Dihydroxy_stage1,92537
Dihydroxy_stage1,92617
Dihydroxy_stage1,92709
Dihydroxy_stage1,92746
Dihydroxy_stage1,92747
Dihydroxy_stage1,92809
Dihydroxy_stage1,92825
Dihydroxy_stage1,92828
Dihydroxy_stage1,92864
Dihydroxy_stage1,92889
Dihydroxy_stage1,92895
Dihydroxy_stage1,92932
Dihydroxy_stage1,92944
Dihydroxy_stage1,92951
Dihydroxy_stage1,92991
Dihydroxy_stage1,92996
Dihydroxy_stage1,93013
Dihydroxy_stage1,93042
Dihydroxy_stage1,93044
Dihydroxy_stage1,93048
Dihydroxy_stage1,93052
Dihydroxy_stage1,93172
Dihydroxy_stage1,93417
Dihydroxy_stage1,93640
Dihydroxy_stage1,93652
Dihydroxy_stage1,93670
Dihydroxy_stage1,93673
Dihydroxy_stage1,93791
Dihydroxy_stage1,93867
Dihydroxy_stage1,94204
Dihydroxy_stage1,94209
Dihydroxy_stage1,94394
Dihydroxy_stage1,94483
Dihydroxy_stage1,94508
Dihydroxy_stage1,94716
Dihydroxy_stage1,94854
Dihydroxy_stage1,94915
Dihydroxy_stage1,94916
Dihydroxy_stage1,94949
Dihydroxy_stage1,94953
Dihydroxy_stage1,95026
Dihydroxy_stage1,95037
Dihydroxy_stage1,95218
Dihydroxy_stage1,95559
Dihydroxy_stage1,95693
Dihydroxy_stage1,96234
Dihydroxy_stage1,96368
Dihydroxy_stage1,96421
Dihydroxy_stage1,96566
Dihydroxy_stage1,96665
Dihydroxy_stage1,96668
Dihydroxy_stage1,96782
Dihydroxy_stage1,96860
Dihydroxy_stage1,96883
Dihydroxy_stage1,97032
Dihydroxy_stage1,97080
Dihydroxy_stage1,97243
Dihydroxy_stage1,97244
Dihydroxy_stage1,97339
Dihydroxy_stage1,97541
Dihydroxy_stage1,97571
Dihydroxy_stage1,97584
Dihydroxy_stage1,98037
Dihydroxy_stage1,98216
Dihydroxy_stage1,98371
Dihydroxy_stage1,98551
Dihydroxy_stage1,98556
Dihydroxy_stage1,98560
Dihydroxy_stage1,98713
Dihydroxy_stage1,98786
Dihydroxy_stage1,98788
Dihydroxy_stage1,98790
Dihydroxy_stage1,98796
Dihydroxy_stage1,98799
Dihydroxy_stage1,98800
Dihydroxy_stage1,98917
Dihydroxy_stage1,98922
Dihydroxy_stage1,98937
Dihydroxy_stage1,98985
Dihydroxy_stage1,99160
Dihydroxy_stage1,99261
Dihydroxy_stage1,99288
Dihydroxy_stage1,99332
Dihydroxy_stage1,99403
Dihydroxy_stage1,99501
Dihydroxy_stage1,99600
Dihydroxy_stage1,99604
Dihydroxy_stage1,99659
Dihydroxy_stage1,99683
Dihydroxy_stage1,99763
Dihydroxy_stage1,99769
Dihydroxy_stage1,99807
Dihydroxy_stage1,99941
Dihydroxy_stage1,99961
Dihydroxy_stage1,100005
Dihydroxy_stage1,100108
Dihydroxy_stage1,100279
Dihydroxy_stage1,100315
Dihydroxy_stage1,100356
Dihydroxy_stage1,100380
Dihydroxy_stage1,100476
Dihydroxy_stage1,100509
Dihydroxy_stage1,100631
Dihydroxy_stage1,101171
Dihydroxy_stage1,101187
Dihydroxy_stage1,101189
Dihydroxy_stage1,101193
Dihydroxy_stage1,101195
Dihydroxy_stage1,101197
Dihydroxy_stage1,101198
Dihydroxy_stage1,101277
Dihydroxy_stage1,101285
Dihydroxy_stage1,101286
Dihydroxy_stage1,101381
Dihydroxy_stage1,101403
Dihydroxy_stage1,101404
Dihydroxy_stage1,101430
Dihydroxy_stage1,101437
Dihydroxy_stage1,101474
Dihydroxy_stage1,101547
Dihydroxy_stage1,101549
Dihydroxy_stage1,101877
Dihydroxy_stage1,101911
Dihydroxy_stage1,102178
Dihydroxy_stage1,102273
Dihydroxy_stage1,102274
Dihydroxy_stage1,102307
Dihydroxy_stage1,102313
Dihydroxy_stage1,102320
Dihydroxy_stage1,102321
Dihydroxy_stage1,102322
Dihydroxy_stage1,102325
Dihydroxy_stage1,102328
Dihydroxy_stage1,102331
Dihydroxy_stage1,102333
Dihydroxy_stage1,102335
Dihydroxy_stage1,102338
Dihydroxy_stage1,102377
Dihydroxy_stage1,102393
Dihydroxy_stage1,102521
Dihydroxy_stage1,102527
Dihydroxy_stage1,102611
Dihydroxy_stage1,102615
Dihydroxy_stage1,102637
Dihydroxy_stage1,102638
Dihydroxy_stage1,102656
Dihydroxy_stage1,102664
Dihydroxy_stage1,102707
Dihydroxy_stage1,102714
Dihydroxy_stage1,102716
Dihydroxy_stage1,102717
Dihydroxy_stage1,102718
Dihydroxy_stage1,102772
Dihydroxy_stage1,102883
Dihydroxy_stage1,102886
Dihydroxy_stage1,103728
Dihydroxy_stage1,103879
Dihydroxy_stage1,103906
Dihydroxy_stage1,103934
Dihydroxy_stage1,104099
Dihydroxy_stage1,104476
Dihydroxy_stage1,104542
Dihydroxy_stage1,104629
Dihydroxy_stage1,105142
Dihydroxy_stage1,105408
Dihydroxy_stage1,105425
Dihydroxy_stage1,105697
Dihydroxy_stage1,106081
Dihydroxy_stage1,106229
Dihydroxy_stage1,106230
Dihydroxy_stage1,106231
Dihydroxy_stage1,106240
Dihydroxy_stage1,106253
Dihydroxy_stage1,106260
Dihydroxy_stage1,106263
Dihydroxy_stage1,106265
Dihydroxy_stage1,106278
Dihydroxy_stage1,106282
Dihydroxy_stage1,106536
Dihydroxy_stage1,106553
Dihydroxy_stage1,106574
Dihydroxy_stage1,106671
Dihydroxy_stage1,106752
Dihydroxy_stage1,106765
Dihydroxy_stage1,106801
Dihydroxy_stage1,106817
Dihydroxy_stage1,107217
Dihydroxy_stage1,107238
Dihydroxy_stage1,107246
Dihydroxy_stage1,107247
Dihydroxy_stage1,107341
Dihydroxy_stage1,107440
Dihydroxy_stage1,107446
Dihydroxy_stage1,107451
Dihydroxy_stage1,107470
Dihydroxy_stage1,107755
Dihydroxy_stage1,108221
Dihydroxy_stage1,108276
Dihydroxy_stage1,110103
Dihydroxy_stage1,110261
Dihydroxy_stage1,110423
Dihydroxy_stage1,110547
Dihydroxy_stage1,110833
Dihydroxy_stage1,110931
Dihydroxy_stage1,110933
Dihydroxy_stage1,110938
Dihydroxy_stage1,110941
Dihydroxy_stage1,110961
Dihydroxy_stage1,110963
Dihydroxy_stage1,110973
Dihydroxy_stage1,110984
Dihydroxy_stage1,110996
Dihydroxy_stage1,111012
Dihydroxy_stage1,111387
Dihydroxy_stage1,111607
Dihydroxy_stage1,111670
Dihydroxy_stage1,111732
Dihydroxy_stage1,111791
Dihydroxy_stage1,111801
Dihydroxy_stage1,111818
Dihydroxy_stage1,111821
Dihydroxy_stage1,111822
Dihydroxy_stage1,111823
Dihydroxy_stage1,111825
Dihydroxy_stage1,111826
Dihydroxy_stage1,111828
Dihydroxy_stage1,111829
Dihydroxy_stage1,111838
Dihydroxy_stage1,111843
Dihydroxy_stage1,111846
Dihydroxy_stage1,111852
Dihydroxy_stage1,111879
Dihydroxy_stage1,111892
Dihydroxy_stage1,111905
Dihydroxy_stage1,111906
Dihydroxy_stage1,111911
Dihydroxy_stage1,111926
Dihydroxy_stage1,111959
Dihydroxy_stage1,111961
Dihydroxy_stage1,111962
Dihydroxy_stage1,111969
Dihydroxy_stage1,111970
Dihydroxy_stage1,111982
Dihydroxy_stage1,112346
Dihydroxy_stage1,112371
Dihydroxy_stage1,112399
Dihydroxy_stage1,112400
Dihydroxy_stage1,112499
Dihydroxy_stage1,112734
Dihydroxy_stage1,113046
Dihydroxy_stage1,113654
Dihydroxy_stage1,113933
Dihydroxy_stage1,114048
Dihydroxy_stage1,114050
Dihydroxy_stage1,114327
Dihydroxy_stage1,114407
Dihydroxy_stage1,114674
Dihydroxy_stage1,115149
Dihydroxy_stage1,115629
Dihydroxy_stage1,115712
Dihydroxy_stage1,115873
Dihydroxy_stage1,116312
Dihydroxy_stage1,116641
Dihydroxy_stage1,117981
Dihydroxy_stage1,118586
Dihydroxy_stage1,119228
Dihydroxy_stage1,119633
Dihydroxy_stage1,119677
Dihydroxy_stage1,119702
Dihydroxy_stage1,119773
Dihydroxy_stage1,119780
Dihydroxy_stage1,119781
Dihydroxy_stage1,119847
Dihydroxy_stage1,120224
Dihydroxy_stage1,121163
Dihydroxy_stage1,121665
Dihydroxy_stage1,122412
Dihydroxy_stage1,122426
Dihydroxy_stage1,122748
Dihydroxy_stage1,122907
Dihydroxy_stage1,123184
Dihydroxy_stage1,123210
Dihydroxy_stage1,123279
Dihydroxy_stage1,123280
Dihydroxy_stage1,123828
Dihydroxy_stage1,123942
Dihydroxy_stage1,124003
Dihydroxy_stage1,124015
Dihydroxy_stage1,124016
Dihydroxy_stage1,124020
Dihydroxy_stage1,124032
Dihydroxy_stage1,124037
Dihydroxy_stage1,124039
Dihydroxy_stage1,124040
Dihydroxy_stage1,124965
Dihydroxy_stage1,125356
Dihydroxy_stage1,125392
Dihydroxy_stage1,125396
Dihydroxy_stage1,125479
Dihydroxy_stage1,125544
Dihydroxy_stage1,125552
Dihydroxy_stage1,125570
Dihydroxy_stage1,125572
Dihydroxy_stage1,126000
Dihydroxy_stage1,126058
Dihydroxy_stage1,126167
Dihydroxy_stage1,127413
Dihydroxy_stage1,127717
Dihydroxy_stage1,128453
Dihydroxy_stage1,128491
Dihydroxy_stage1,128658
Dihydroxy_stage1,128687
Dihydroxy_stage1,128814
Dihydroxy_stage1,131286
Dihydroxy_stage1,131823
Dihydroxy_stage1,132188
Dihydroxy_stage1,132432
Dihydroxy_stage1,133988
Dihydroxy_stage1,135188
Dihydroxy_stage2,nan
Di-1-ketone,nan
"Di-3,7-OH|Di-3,6-OH|Di-3,12b-OH|Di-7,12b-OH",81730
"Di-3,7-OH|Di-3,6-OH|Di-3,12b-OH|Di-7,12b-OH",84935
"Di-3,7-OH|Di-3,6-OH|Di-3,12b-OH|Di-7,12b-OH",86628
"Di-3,7-OH|Di-3,6-OH|Di-3,12b-OH|Di-7,12b-OH",86758
"Di-3,7-OH|Di-3,6-OH|Di-3,12b-OH|Di-7,12b-OH",86944
"Di-3,7-OH|Di-3,6-OH|Di-3,12b-OH|Di-7,12b-OH",87003
"Di-3,7-OH|Di-3,6-OH|Di-3,12b-OH|Di-7,12b-OH",88033
"Di-3,7-OH|Di-3,6-OH|Di-3,12b-OH|Di-7,12b-OH",88061
"Di-3,7-OH|Di-3,6-OH|Di-3,12b-OH|Di-7,12b-OH",88912
"Di-3,7-OH|Di-3,6-OH|Di-3,12b-OH|Di-7,12b-OH",89770
"Di-3,7-OH|Di-3,6-OH|Di-3,12b-OH|Di-7,12b-OH",90060
"Di-3,7-OH|Di-3,6-OH|Di-3,12b-OH|Di-7,12b-OH",90175
"Di-3,7-OH|Di-3,6-OH|Di-3,12b-OH|Di-7,12b-OH",90188
"Di-3,7-OH|Di-3,6-OH|Di-3,12b-OH|Di-7,12b-OH",90201
"Di-3,7-OH|Di-3,6-OH|Di-3,12b-OH|Di-7,12b-OH",90400
"Di-3,7-OH|Di-3,6-OH|Di-3,12b-OH|Di-7,12b-OH",90408
"Di-3,7-OH|Di-3,6-OH|Di-3,12b-OH|Di-7,12b-OH",90412
"Di-3,7-OH|Di-3,6-OH|Di-3,12b-OH|Di-7,12b-OH",90773
"Di-3,7-OH|Di-3,6-OH|Di-3,12b-OH|Di-7,12b-OH",90842
"Di-3,7-OH|Di-3,6-OH|Di-3,12b-OH|Di-7,12b-OH",90856
"Di-3,7-OH|Di-3,6-OH|Di-3,12b-OH|Di-7,12b-OH",91055
"Di-3,7-OH|Di-3,6-OH|Di-3,12b-OH|Di-7,12b-OH",91170
"Di-3,7-OH|Di-3,6-OH|Di-3,12b-OH|Di-7,12b-OH",91263
"Di-3,7-OH|Di-3,6-OH|Di-3,12b-OH|Di-7,12b-OH",91267
"Di-3,7-OH|Di-3,6-OH|Di-3,12b-OH|Di-7,12b-OH",91479
"Di-3,7-OH|Di-3,6-OH|Di-3,12b-OH|Di-7,12b-OH",91536
"Di-3,7-OH|Di-3,6-OH|Di-3,12b-OH|Di-7,12b-OH",91763
"Di-3,7-OH|Di-3,6-OH|Di-3,12b-OH|Di-7,12b-OH",92116
"Di-3,7-OH|Di-3,6-OH|Di-3,12b-OH|Di-7,12b-OH",92198
"Di-3,7-OH|Di-3,6-OH|Di-3,12b-OH|Di-7,12b-OH",92199
"Di-3,7-OH|Di-3,6-OH|Di-3,12b-OH|Di-7,12b-OH",92709
"Di-3,7-OH|Di-3,6-OH|Di-3,12b-OH|Di-7,12b-OH",92746
"Di-3,7-OH|Di-3,6-OH|Di-3,12b-OH|Di-7,12b-OH",92828
"Di-3,7-OH|Di-3,6-OH|Di-3,12b-OH|Di-7,12b-OH",92895
"Di-3,7-OH|Di-3,6-OH|Di-3,12b-OH|Di-7,12b-OH",92991
"Di-3,7-OH|Di-3,6-OH|Di-3,12b-OH|Di-7,12b-OH",92996
"Di-3,7-OH|Di-3,6-OH|Di-3,12b-OH|Di-7,12b-OH",93837
"Di-3,7-OH|Di-3,6-OH|Di-3,12b-OH|Di-7,12b-OH",94169
"Di-3,7-OH|Di-3,6-OH|Di-3,12b-OH|Di-7,12b-OH",94204
"Di-3,7-OH|Di-3,6-OH|Di-3,12b-OH|Di-7,12b-OH",94214
"Di-3,7-OH|Di-3,6-OH|Di-3,12b-OH|Di-7,12b-OH",94228
"Di-3,7-OH|Di-3,6-OH|Di-3,12b-OH|Di-7,12b-OH",94949
"Di-3,7-OH|Di-3,6-OH|Di-3,12b-OH|Di-7,12b-OH",96665
"Di-3,7-OH|Di-3,6-OH|Di-3,12b-OH|Di-7,12b-OH",96734
"Di-3,7-OH|Di-3,6-OH|Di-3,12b-OH|Di-7,12b-OH",96883
"Di-3,7-OH|Di-3,6-OH|Di-3,12b-OH|Di-7,12b-OH",97080
"Di-3,7-OH|Di-3,6-OH|Di-3,12b-OH|Di-7,12b-OH",97977
"Di-3,7-OH|Di-3,6-OH|Di-3,12b-OH|Di-7,12b-OH",97997
"Di-3,7-OH|Di-3,6-OH|Di-3,12b-OH|Di-7,12b-OH",98551
"Di-3,7-OH|Di-3,6-OH|Di-3,12b-OH|Di-7,12b-OH",98556
"Di-3,7-OH|Di-3,6-OH|Di-3,12b-OH|Di-7,12b-OH",98917
"Di-3,7-OH|Di-3,6-OH|Di-3,12b-OH|Di-7,12b-OH",99600
"Di-3,7-OH|Di-3,6-OH|Di-3,12b-OH|Di-7,12b-OH",100509
"Di-3,7-OH|Di-3,6-OH|Di-3,12b-OH|Di-7,12b-OH",101171
"Di-3,7-OH|Di-3,6-OH|Di-3,12b-OH|Di-7,12b-OH",101198
"Di-3,7-OH|Di-3,6-OH|Di-3,12b-OH|Di-7,12b-OH",101285
"Di-3,7-OH|Di-3,6-OH|Di-3,12b-OH|Di-7,12b-OH",101381
"Di-3,7-OH|Di-3,6-OH|Di-3,12b-OH|Di-7,12b-OH",101403
"Di-3,7-OH|Di-3,6-OH|Di-3,12b-OH|Di-7,12b-OH",101437
